Store Nbr	Store Name	Store Type Descr	Open Sunday Flag	Street Address	City	State	Zip Code	MDSE Major Zone	MDSE Sub Zone	Square Footage	Subdiv	Region	District	Open Date	Expansion Size SQFT	Expansion Open Date	Dry Run Date	Regular Warehouse	Assembly Warehouse	Circular Warehouse	Distribution Warehouse	WPM Warehouse	Store Prototype Nbr	IDC	IDC Desc	Port	Port Desc
1	ROGERS, AR	BASE STR Supercenter	Y	2110 W WALNUT ST	ROGERS	AR	72756	50	55	201314	1B	42	323	07/02/1962	125883	05/08/1996	07/02/1962	6094	6094	6094	6094	6008	188	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
2	HARRISON AR	BASE STR Supercenter	Y	161 N. WALMART DRIVE	HARRISON	AR	72601	50	55	181701	1B	42	328	08/01/1964	89416	01/25/1995	08/01/1964	6094	6094	6094	6094	6008	167	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
3	COMMERCE GA	BASE STR Supercenter	Y	30983 HIGHWAY 441 S	COMMERCE	GA	30529	50	56	151980	1A	2	21	04/12/1988	55498	03/15/2000	04/12/1988	6054	6054	6054	6054	6014	144	6061	STATESBORO-STORAGE	3060	SAVANNAH-FLOW
4	SILOAM SPRINGS AR	BASE STR Supercenter	Y	2901 HIGHWAY 412 E	SILOAM SPRINGS	AR	72761	50	55	184435	1B	42	323	08/01/1965	83849	01/24/2001	08/01/1965	6094	6094	6094	6094	6008	173	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
5	CONWAY AR	BASE STR Supercenter	Y	1155 HWY 65 NORTH	CONWAY	AR	72032	50	55	180161	1B	42	324	05/01/1972	175220	09/29/1992	05/01/1972	6018	6018	6018	6018	6008	167	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
6										0	1X	98	998	08/01/1997	0	04/09/2010	08/01/1997	6020	6020	6020	6020	6022	0	6061	STATESBORO-STORAGE	3060	SAVANNAH-FLOW
7	NORTH LITTLE ROCK AR	BASE STR Supercenter	Y	9053 HIGHWAY 107	SHERWOOD	AR	72120	50	55	206528	1B	42	326	10/01/1967	69255	06/11/2008	10/01/1967	6018	6018	6018	6018	6008	195	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
8	MORRILTON AR	BASE STR Supercenter	Y	1621 NORTH BUSINESS 9	MORRILTON	AR	72110	50	55	123369	1B	42	325	10/01/1967	50261	11/25/1992	10/01/1967	6018	6018	6018	6018	6008	116	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
9	SIKESTON MO	BASE STR Supercenter	Y	1303 S MAIN ST	SIKESTON	MO	63801	60	65	205540	1N	40	335	03/01/1968	120162	03/29/2000	03/01/1968	6066	6066	6066	6066	6022	192	7078	ELWOOD STORAGE	3148	ELWOOD FLOW
10	TAHLEQUAH OK	BASE STR Supercenter	Y	2020 S MUSKOGEE AVE	TAHLEQUAH	OK	74464	50	54	182721	1B	50	347	07/30/1968	90622	10/15/1997	07/30/1968	6094	6094	6094	6094	6008	167	7042	HOUSTON STORAGE	3080	HOUSTON FLOW
